plane,angle_deg,kx,ky,kz,q,A_proj,force_factor
XY,27,0.891007,0.45399,0,0.722012,83256.1,143368
XZ,27,0.891007,0,0.45399,0.697527,73527.1,124814
YZ,27,0,0.891007,0.45399,0.921765,30700.9,59000
XY,27.5,0.887011,0.461749,0,0.722778,83177.1,143296
XZ,27.5,0.887011,0,0.461749,0.697804,73281.9,124418
YZ,27.5,0,0.887011,0.461749,0.921784,30647.8,58898.4
XY,28,0.882948,0.469472,0,0.723546,83091.8,143213
XZ,28,0.882948,0,0.469472,0.698082,73031.1,124013
YZ,28,0,0.882948,0.469472,0.921802,30592.3,58792.3
XY,28.5,0.878817,0.477159,0,0.724315,83000.2,143118
XZ,28.5,0.878817,0,0.477159,0.698363,72774.7,123598
YZ,28.5,0,0.878817,0.477159,0.921818,30534.5,58681.7
XY,29,0.87462,0.48481,0,0.725086,82902.3,143013
XZ,29,0.87462,0,0.48481,0.698646,72512.8,123174
YZ,29,0,0.87462,0.48481,0.921832,30474.3,58566.5
XY,29.5,0.870356,0.492424,0,0.725858,82798,142898
XZ,29.5,0.870356,0,0.492424,0.698931,72245.4,122740
YZ,29.5,0,0.870356,0.492424,0.921844,30411.8,58446.8
XY,30,0.866025,0.5,0,0.726631,82687.4,142771
XZ,30,0.866025,0,0.5,0.699218,71972.5,122297
YZ,30,0,0.866025,0.5,0.921855,30347.1,58322.6
XY,30.5,0.861629,0.507538,0,0.727406,82570.6,142633
XZ,30.5,0.861629,0,0.507538,0.699507,71694.1,121845
YZ,30.5,0,0.861629,0.507538,0.921863,30280,58193.9
XY,31,0.857167,0.515038,0,0.728183,82447.4,142484
XZ,31,0.857167,0,0.515038,0.699798,71410.2,121383
YZ,31,0,0.857167,0.515038,0.921869,30210.6,58060.7
XY,31.5,0.85264,0.522499,0,0.728962,82318,142325
XZ,31.5,0.85264,0,0.522499,0.700091,71120.9,120912
YZ,31.5,0,0.85264,0.522499,0.921872,30138.9,57923
XY,32,0.848048,0.529919,0,0.729743,82182.3,142154
XZ,32,0.848048,0,0.529919,0.700387,70826.2,120432
YZ,32,0,0.848048,0.529919,0.921874,30064.9,57780.8
XY,32.5,0.843391,0.5373,0,0.730525,82040.4,141973
XZ,32.5,0.843391,0,0.5373,0.700686,70526.1,119943
YZ,32.5,0,0.843391,0.5373,0.921872,29988.6,57634.2
XY,33,0.838671,0.544639,0,0.73131,81892.2,141781
XZ,33,0.838671,0,0.544639,0.700987,70220.6,119444
YZ,33,0,0.838671,0.544639,0.921868,29910,57483.1
XY,33.5,0.833886,0.551937,0,0.732097,81737.8,141578
XZ,33.5,0.833886,0,0.551937,0.70129,69909.8,118937
YZ,33.5,0,0.833886,0.551937,0.921862,29829.1,57327.5
XY,34,0.829038,0.559193,0,0.732887,81577.1,141364
XZ,34,0.829038,0,0.559193,0.701597,69593.7,118420
YZ,34,0,0.829038,0.559193,0.921852,29746,57167.5
XY,34.5,0.824126,0.566406,0,0.733679,81410.2,141139
XZ,34.5,0.824126,0,0.566406,0.701906,69272.2,117895
YZ,34.5,0,0.824126,0.566406,0.92184,29660.6,57003
XY,35,0.819152,0.573576,0,0.734474,81237.2,140904
XZ,35,0.819152,0,0.573576,0.702218,68945.5,117360
YZ,35,0,0.819152,0.573576,0.921825,29573,56834.1
XY,35.5,0.814116,0.580703,0,0.735271,81057.9,140657
