sample,kx,ky,kz,q,A_proj,force_factor
182,0.972515,0.0252257,-0.231468,0.692944,78697.9,133231
183,-0.00929078,0.881989,0.471178,0.922575,31307.9,60191.7
184,0.276653,0.181085,0.943754,0.783528,35200.9,62781.8
185,-0.673702,-0.735723,-0.069551,0.458265,72280.6,105404
186,0.532852,0.815386,-0.226304,0.778158,68057.5,121017
187,-0.970525,-0.237205,-0.0426104,0.326782,82637.8,109642
188,-0.171915,-0.392058,0.903734,0.743048,31308.5,54572.2
189,-0.969181,0.231426,-0.0844384,0.334842,83788.3,111844
190,0.763724,-0.0726235,-0.641445,0.709993,66957.7,114497
191,-0.0400318,-0.0579245,0.997518,0.897178,13230.7,25101.1
192,-0.356821,0.696801,0.622212,0.631647,54338.2,88660.8
193,0.308256,0.369297,-0.876697,0.792941,42616.1,76408.1
194,0.778708,0.199975,-0.594663,0.717478,71889,123468
195,0.292152,0.864432,0.409152,0.827549,52339.4,95652.7
196,0.519219,-0.699451,-0.4911,0.76958,62582.4,110745
197,0.328527,-0.890522,0.314707,0.810403,51114.2,92537.4
198,0.328339,-0.869366,-0.369318,0.810272,50974.9,92278.4
199,-0.25117,-0.585769,0.770576,0.68581,41328.7,69672.3
200,0.569572,-0.568449,0.593678,0.757279,64131.5,112697
201,0.544157,-0.755497,-0.364852,0.767553,64891,114698
202,-0.714356,-0.343366,0.609751,0.409786,70129.8,98868.1
203,0.0192681,-0.615989,-0.787519,0.919969,23906.6,45899.9
204,0.388533,0.822541,0.415293,0.804098,58662.9,105834
205,0.32179,-0.635402,0.701937,0.804025,47417,85541.5
206,0.349134,-0.44562,0.824335,0.785385,45764.9,81708
207,-0.430117,0.700062,-0.57001,0.586624,59656,94651.7
208,0.036438,0.387549,-0.921129,0.907043,22305.8,42538.1
209,-0.113407,0.651348,-0.750256,0.843834,34846.6,64251.4
210,0.632286,-0.76498,-0.122558,0.754936,69963.8,122782
211,0.932325,-0.0730979,-0.354157,0.698473,77705.9,131981
212,-0.123455,-0.344678,0.930568,0.796998,26524.7,47664.8
213,0.916098,0.211616,0.340562,0.708098,80869.6,138133
214,-0.807555,-0.148031,0.570913,0.356184,72127.9,97818.7
215,-0.839638,0.418773,0.345886,0.400197,81515,114137
216,-0.239448,-0.310131,-0.920045,0.65389,34522.5,57096.5
217,-0.27675,-0.951075,0.137354,0.686104,47198.4,79581.4
218,0.137956,0.902731,0.407486,0.878747,41429.8,77836
219,0.18104,0.166002,0.969365,0.816549,27498.8,49952.9
220,0.773291,-0.234577,-0.589062,0.717979,71395.3,122656
221,-0.261818,0.41953,0.869164,0.664096,40673.6,67684.8
222,0.404692,0.309177,0.860601,0.767071,48336.7,85414.3
223,-0.618777,0.239431,-0.74819,0.425918,62137,88602.2
224,-0.75522,-0.607395,0.246401,0.428303,76943.6,109899
225,-0.373796,0.651708,-0.659965,0.614387,54541.9,88051.7
226,0.687913,-0.184925,-0.701839,0.721151,64413.8,110866
227,0.364572,0.329896,-0.870779,0.776305,45781.2,81321.3
228,-0.692611,0.717012,-0.0786394,0.471023,76614.8,112702
229,-0.374694,-0.205953,0.903985,0.521903,42485.4,64658.7
230,0.637217,0.241426,-0.731893,0.731601,63244.5,109514
231,-0.232514,-0.921747,0.310355,0.727013,44468.5,76797.7
232,-0.524691,-0.829699,-0.190523,0.525696,64002.4,97648.2
233,0.722558,-0.0528614,0.689287,0.712169,63747,109146
234,-0.0424181,-0.411869,0.910255,0.897622,21700.3,41179
235,-0.253561,-0.875353,-0.411659,0.707027,45749.2,78095.1
236,-0.510618,0.859806,0.00145024,0.550955,65959.9,102301
237,0.793949,-0.606145,0.0472609,0.732803,77907.8,134999
238,-0.458061,0.162068,0.874022,0.471454,48388.5,71201.4
239,0.31244,-0.835354,0.452289,0.81392,49636.4,90036.5
240,-0.760594,-0.227643,-0.608009,0.378948,70700.2,97491.9
241,0.27322,0.657806,-0.701885,0.824376,47069.2,85872
242,0.91042,0.341552,-0.233405,0.716007,83371.8,143067
243,0.710985,-0.606099,0.356572,0.742953,74094.3,129143
244,-0.044169,0.948983,-0.312218,0.910423,34641.9,66180.6
245,-0.529428,0.375267,-0.760842,0.486452,59310.2,88161.8
246,0.824159,0.462813,-0.326445,0.730901,81066.5,140318
247,-0.891535,-0.37072,0.260253,0.368833,81727.1,111871
248,0.472453,0.23993,-0.848069,0.7495,51312.5,89771.2
249,0.61699,0.0425172,0.785821,0.720139,56261.3,96777.4
250,-0.567643,0.779963,0.263514,0.526859,70299.8,107338
251,-0.30374,-0.609461,-0.732324,0.642726,45621.3,74943.3
252,-0.586446,-0.365978,0.722593,0.451987,61635.3,89493.6
253,0.571173,0.107916,0.813705,0.728073,54888.4,94851.1
254,0.506732,0.629605,0.588915,0.775385,63595.8,112907
255,0.109025,-0.0321211,0.99352,0.854977,17911.1,33224.7
256,-0.134239,0.859419,-0.493334,0.833548,40558.9,74366.8
257,-0.581885,0.318195,0.748439,0.455695,61722.6,89849.3
258,-0.253991,-0.0901615,0.962995,0.596876,30559.3,48799.4
259,-0.517674,0.710339,-0.476899,0.543647,66051.8,101961
260,-0.493174,0.811278,0.314017,0.563581,65828.5,102928
261,0.506685,-0.686024,-0.522151,0.770922,61523.7,108954
262,0.85572,0.512941,0.068075,0.729152,82858.8,143275
263,0.632391,0.763682,-0.129891,0.762814,73462.3,129500
264,-0.31683,-0.904,0.28706,0.655204,50436.4,83482.5
265,-0.988571,0.0696501,0.133705,0.304034,80886.1,105478
