wavelength_nm,irradiance_W_m2_nm
1496.0,0.29719999999999996
1498.0,0.2994
1500.0,0.30110000000000003
1502.0,0.2924
1504.0,0.2799
1506.0,0.2848
1508.0,0.2919
1510.0,0.29469999999999996
1512.0,0.2913
1514.0,0.2883
1516.0,0.2882
1518.0,0.2884
1520.0,0.2866
1522.0,0.2824
1524.0,0.2835
1526.0,0.2846
1528.0,0.2846
1530.0,0.2765
1532.0,0.2823
1534.0,0.2784
1536.0,0.2806
1538.0,0.2773
1540.0,0.273
1542.0,0.2753
1544.0,0.2778
1546.0,0.2772
1548.0,0.2711
1550.0,0.2713
1552.0,0.2731
1554.0,0.2676
1556.0,0.2671
1558.0,0.2689
1560.0,0.26830000000000004
1562.0,0.2697
1564.0,0.26689999999999997
1566.0,0.26539999999999997
1568.0,0.26330000000000003
1570.0,0.2645
1572.0,0.26730000000000004
1574.0,0.261
1576.0,0.2536
1578.0,0.2547
1580.0,0.265
1582.0,0.259
1584.0,0.2591
1586.0,0.25989999999999996
1588.0,0.249
1590.0,0.2405
1592.0,0.2526
1594.0,0.25830000000000003
1596.0,0.2506
1598.0,0.2545
1600.0,0.2512
1602.0,0.2489
1604.0,0.24969999999999998
1606.0,0.24769999999999998
1608.0,0.2491
1610.0,0.24
1612.0,0.243
1614.0,0.2449
1616.0,0.2374
1618.0,0.24230000000000002
1620.0,0.2369
1622.0,0.2383
1624.0,0.24159999999999998
1626.0,0.2402
1628.0,0.24180000000000001
1630.0,0.2393
1632.0,0.2387
1634.0,0.2359
1636.0,0.2357
1638.0,0.22740000000000002
1640.0,0.22619999999999998
1642.0,0.2266
1644.0,0.2278
1646.0,0.2294
1648.0,0.2292
1650.0,0.22719999999999999
1652.0,0.2268
1654.0,0.22619999999999998
1656.0,0.226
1658.0,0.22519999999999998
1660.0,0.2245
1662.0,0.2246
1664.0,0.22269999999999998
1666.0,0.22119999999999998
1668.0,0.21930000000000002
1670.0,0.2225
1672.0,0.21730000000000002
1674.0,0.21930000000000002
1676.0,0.2161
1678.0,0.21680000000000002
1680.0,0.208
1682.0,0.2054
1684.0,0.2129
1686.0,0.21309999999999998
1688.0,0.212
1690.0,0.2105
1692.0,0.21230000000000002
1694.0,0.2112
1696.0,0.21
1698.0,0.2089
1700.0,0.2063
1702.0,0.2047
1704.0,0.2052
1706.0,0.205
1708.0,0.2017
1710.0,0.2013
1712.0,0.1982
1714.0,0.2037
1716.0,0.2022
1718.0,0.201
1720.0,0.1993
1722.0,0.1975
1724.0,0.19540000000000002
1726.0,0.1982
1728.0,0.1971
1730.0,0.1984
1732.0,0.1936
1734.0,0.1874
1736.0,0.1827
1738.0,0.18630000000000002
1740.0,0.1905
1742.0,0.19019999999999998
1744.0,0.19069999999999998
1746.0,0.18669999999999998
1748.0,0.18719999999999998
1750.0,0.18580000000000002
1752.0,0.185
1754.0,0.1856
1756.0,0.1849
1758.0,0.18430000000000002
1760.0,0.18309999999999998
1762.0,0.17930000000000001
1764.0,0.1807
1766.0,0.1817
1768.0,0.1802
1770.0,0.17909999999999998
1772.0,0.1794
1774.0,0.1792
1776.0,0.1763
1778.0,0.1747
1780.0,0.1756
1782.0,0.1747
1784.0,0.1735
1786.0,0.1739
1788.0,0.1747
1790.0,0.1733
1792.0,0.1721
1794.0,0.1709
1796.0,0.1706
1798.0,0.1703
1800.0,0.1699
1802.0,0.1672
1804.0,0.1688
1806.0,0.1688
1808.0,0.1685
1810.0,0.1686
1812.0,0.1675
1814.0,0.1658
1816.0,0.1605
1818.0,0.152
1820.0,0.1596
1822.0,0.1598
1824.0,0.16240000000000002
1826.0,0.1628
1828.0,0.1611
1830.0,0.1606
1832.0,0.15930000000000002
1834.0,0.1585
1836.0,0.1581
1838.0,0.15619999999999998
1840.0,0.15619999999999998
1842.0,0.154
1844.0,0.1541
1846.0,0.1535
1848.0,0.151
1850.0,0.1546
1852.0,0.1534
1854.0,0.1525
1856.0,0.1509
1858.0,0.1525
1860.0,0.15030000000000002
1862.0,0.1504
1864.0,0.1509
1866.0,0.1494
1868.0,0.1492
1870.0,0.15080000000000002
1872.0,0.14730000000000001
1874.0,0.1401
1876.0,0.12990000000000002
1878.0,0.1441
1880.0,0.1462
1882.0,0.1474
1884.0,0.1464
1886.0,0.1439
1888.0,0.1453
1890.0,0.1424
1892.0,0.1408
1894.0,0.1396
1896.0,0.1373
1898.0,0.139
1900.0,0.1397
1902.0,0.1409
1904.0,0.1386
1906.0,0.139
1908.0,0.1377
1910.0,0.1378
1912.0,0.1354
1914.0,0.137
1916.0,0.136
1918.0,0.1353
1920.0,0.1333
1922.0,0.135
1924.0,0.1341
1926.0,0.13440000000000002
1928.0,0.13219999999999998
1930.0,0.1313
1932.0,0.1308
1934.0,0.132
1936.0,0.1328
1938.0,0.1321
1940.0,0.12990000000000002
1942.0,0.12940000000000002
1944.0,0.12029999999999999
1946.0,0.1192
1948.0,0.1271
1950.0,0.1261
1952.0,0.1255
1954.0,0.1286
1956.0,0.1276
1958.0,0.1271
1960.0,0.1261
1962.0,0.124
1964.0,0.1222
1966.0,0.1231
1968.0,0.124
1970.0,0.12390000000000001
1972.0,0.12129999999999999
1974.0,0.12079999999999999
1976.0,0.12240000000000001
1978.0,0.1194
1980.0,0.1196
1982.0,0.1205
1984.0,0.1197
1986.0,0.1178
1988.0,0.1195
1990.0,0.1198
1992.0,0.118
1994.0,0.1162
1996.0,0.1173
1998.0,0.1159
2000.0,0.117
2001.9999999999998,0.1161
2004.0,0.1148
2005.9999999999998,0.1147
2008.0,0.1154
2009.9999999999998,0.1149
2012.0,0.1145
2013.9999999999998,0.1138
2016.0,0.11370000000000001
2017.9999999999998,0.1134
2020.0,0.11159999999999999
2021.9999999999998,0.1107
2024.0,0.11159999999999999
